Income,Population
25,74
45,45
35,20
98,9
12,63
45,82
78,6
89,41
56,36
2,18
3,80
1,1
2,48
5,10
65,86
45,22
98,46
12,59
35,91
4,88
8,9
6,9
1,1
23,53
45,14
78,7
79,11
213,43
3,24
4,96
89,62
45,44
1,1
2316846,1
4,90
123,5
185,22
4,61
96846,5
13,83
213,55
876,47
13,100
21,85
324,43
687,10
6,62
132,79
3,46
1,1
684,44
98,31
74964,9
16,42
1,1
30,97
301,48
31,6
6,98
54,77
6,36
32,99
31,74
546,87
874,47
94,63
6,18
1,1
9,90
65465,7
312,24
64,60
9874,5
98,79
654,18
1,1
486,36
123,8
16,57
546,55
1,1
210,17
314,97
98,55
798,87
416,0
1,1
20,58
321,34
54,29
9,71
8496,26
1,1
96541,5
231,18
321,51
3,20
16,57
4,85
9651,50
1,1
3,93
1,1
84,57
96,25
16,71
123,30
16,15
8,49
97,91
987,66
8945,58
1,1
213,37
14,88
987,25
974,37
61,20
5464,65
1,1
687,41
987,85
9,4
8498,55
654,39
10,5
3,3
1,1
648,75
964,83
61,39
321,69
3,3
48,92
947,80
964,81
11,79
31,41
65461,63
31,41
84,42
64,41
1,1
31,41
3,3
1,1
5846,69
421,71
98794,5
1562,55
